ID,Accepts,Rejects,Waitlisted,Deferred
1,"University of Wisconsin - Madison, University of Iowa, University of Minnesota - Twin Cities, Michigan State, University of Dayton, Xavier University, St Thomas University, Indiana University Bloomington, University of Kansas, University of Wisconsin - LaCrosse, University of Miami",,,
2,"Harvard University, George Washington University, Purdue University, Rochester Institute of Technology, Clarkson University","Johns Hopkins, Yale University, Cornell University, University of Pennsylvania","Boston University, Georgia Institute of Technology, Virginia Institute of Technology, Northeastern University",
3,"Appalachian State, University of North Carolina - Asheville, University of Charleston, University of Mississippi, West Virginia University, Radford University","James Madison University, Clemson University, Virginia Institute of Technology, Georgia Institute of Technology",,Florida State
4,"University of Pennsylvania, University of California - Berkeley, University of California - Los Angeles, University of Southern California, University of North Carolina - Chapel Hill, Indiana University Bloomington, Southern Methodist University","Vanderbilt University, Duke University, University of Texas - Austin","Dartmouth College, Georgetown University, University of Virginia, Boston College, University of Michigan - Ann Arbor",
5,"Babson College, Roger Williams College University",,,
6,"Harvard University, Brigham Young University, Western Washington University",University of Washington - Seattle,,
7,"Rutgers University, Stevens Institute of Technology, Carnegie Mellon","Lehigh University, Northeastern University, New York University, Georgia Institute of Technology, Cornell University, Princeton University, Massachusetts Institute of Technology, Harvard University, Yale University, University of Pennsylvania, Purdue University",,
8,"Florida State, University of Florida, California Institute of Technology, Yale University","Brown University, Columbia University, Harvard University, Princeton University, University of Pennsylvania, Stanford University","Georgia Institute of Technology, Cornell University, Duke University, Massachusetts Institute of Technology",
9,"University of Kansas, University of Texas - Dallas, Northwestern University",,,
10,"Boston University, University of Massachusetts - Amherst, Fordham University, Rutgers University",,New York University,"American University, Northeastern University"
11,"San Jose State University, San Diego State University, California State Polytechnic University - Pomona, California State University - Long Beach, South Florida State, University of California - Merced, University of California - Riverside, University of California - Santa Cruz, University of California - Davis, University of California - Berkeley","University of California - Santa Barbara, University of California - San Diego, University of California - Los Angeles",University of California - Irvine,
12,"University of California - Los Angeles, University of California - Berkeley, University of California - Santa Barbara, University of California - Irvine, University of California - San Diego, Yale University, Columbia University",University of Pennsylvania,,
13,"Michigan State, Western Michigan Universityniversity, Eastern Michigan Universityniversity, Grand Valley State, University of Florida, Florida State, Wayne State, Central Michigan Universityniversity, Case Western University, University of Wisconsin - Madison, University of Minnesota - Twin Cities","University of Michigan - Ann Arbor, Tulane University, University of Illinois",,
14,"Appalachian State, Young Harris, DePaul University, Pennsylvania State, West Virginia University, University of Pittsburgh, Florida Institute of Technology","University of Illinois - Urbana Champaign, Berry College, University of South Florida, Purdue University, Ohio State, James Madison University, University of Wisconsin - Madison, University of Iowa",,"Virginia Institute of Technology, University of Missouri"
15,"University of Alabama, Louisiana State, University of Oregon, Pennsylvania State, Rochester Institute of Technology, McDaniel College, University of Maryland - Baltimore, Mount St Mary's University, St Mary's College, University of South Florida, Loyola Marymount University, University of New Hampshire, Temple University",,,
16,"University of Colorado - Boulder, Colorado State, Purdue University",,"Columbia University, University of Michigan - Ann Arbor",
17,"University of Michigan - Ann Arbor, Michigan State, Grand Valley State, Hillsdale College, Purdue University, Ohio State, Pennsylvania State,","Boston University, Northeastern University, University of California - Berkeley, University of California - Los Angeles, Duke University, Harvard University, Yale University, Stanford University, Columbia University",,
18,"University of California - Irvine, University of California - Santa Cruz, Florida State, University of Florida","Princeton University, Harvard University, Stanford University, University of California - Los Angeles, University of California - San Diego, Vanderbilt University, Brown University, Duke University",Northeastern University,
19,"Florida State, Boston College, Loyola Marymount University, University of Southern California, University of South Florida, University of Southern California","San Diego State University, University of California - Davis, University of California - Irvine",,
20,"Georgia Institute of Technology, Purdue University, University of Michigan - Ann Arbor, Virginia Institute of Technology, University of Illinois - Urbana Champaign, University of Tennessee - Knoxville",,,
21,"Yale University, Georgia Institute of Technology, Purdue University, University of California - Los Angeles, Case Western University, Columbia University","University of Chicago, Stanford University, Duke University, Dartmouth College, Cornell University, Princeton University, University of Illinois - Urbana Champaign, Johns Hopkins, Massachusetts Institute of Technology, California Institute of Technology","Harvard University, Carnegie Mellon, University of California - Berkeley, University of California - San Diego, Vanderbilt University, New York University, University of Michigan - Ann Arbor, Emory University, University of Pennsylvania",
22,"University of Connecticut, Franklin & Marshall College, Lehigh University, Case Western University, Bates College","Boston College, Bowdoin College, Dartmouth College, Yale University",Northeastern University,
23,"Butler University, University of Colorado - Boulder,Denison University, DePaul University, Indiana University Bloomington, Macalester College, Michigan State, University of Pittsburgh, University of Washington - St Louis, University of Washington - Seattle, University of Wisconsin - Madison","University of Georgia, Tulane University","University of Michigan - Ann Arbor,",
24,"Loyola Marymount University, Illinois Wesleyan University, University of Illinois - Urbana Champaign, Denison University, American University","University of Notre Dame, Wake Forest University, William & Mary, George Washington University",,
25,"University of California - Berkeley, University of California - Santa Barbara, University of California - Davis, University of California - Irvine, Auburn University, Clemson University, Pennsylvania State, Ohio State, University of Tennessee - Knoxville, University of Florida, University of Miami, University of Oregon, University of South Carolina, University Washington - St Louis, San Diego State University","University of California - Los Angeles, University of Georgia","Florida State, University of Michigan - Ann Arbor",
26,Duke University,"Princeton University, Stanford University, Columbia University, University of Pennsylvania, University of Chicago, Cornell University, Northwestern University",,
27,"Boston University, Chapman University, Loyola Marymount University, DePaul University, Emerson, Northeastern University, University of Massachusetts - Amherst, Case Western University","University of Southern California, University of Virginia, Emory University, Fairfield University","Tulane University, New York University,",
28,"San Diego State University, San Jose State University, California State Polytechnic University - Pomona, Florida State, University of California - Merced, University of California - Riverside, University of Southern California, University of California - Davis, University of California - Berkeley","University of California - Santa Barbara, University of California - Irvine, University of California - Los Angeles",,
29,"Stanford University, University of Pennsylvania, Dartmouth College, Rice University, Northwestern University, Johns Hopkins, University of California - Berkeley, Williams College, University of Washington - St Louis, Emory University, Duke University, University of North Carolina - Chapel Hill, University of Virginia, Bowdoin College, Claremont McKenna College, University of Southern California, Boston University","University of Illinois - Urbana Champaign, California Institute of Technology, Pomona College, Brown University, Princeton University, Columbia University","Harvard University, Yale University, Cornell University, Massachusetts Institute of Technology, University of Chicago, Tulane University",
30,"Temple University, Drexel University, Pennsylvania State, University of Pittsburgh, University of Washington - St Louis, Rutgers University, University of New Brunswick - Canada, Seton Hall University, University of Connecticut","University of Virginia, University of Maryland - College Park, Lehigh University",,
31,"Columbia University, University of Michigan - Ann Arbor, Harvey Mudd College, Johns Hopkins, Northwestern University, Cornell University","Harvard University, Princeton University, Stanford University","Carnegie Mellon, Massachusetts Institute of Technology",
32,"University of Illinois - Urbana Champaign, University of Colorado - Boulder, Louisiana State, University of Missouri, Pennsylvania State",,,
33,"University of Michigan - Ann Arbor, University of Washington - St Louis, Case Western University, Purdue University, Colorado State, University of Nevada - Reno, University of Minnesota - Twin Cities","University of California - Berkeley, University of California - Los Angeles, University of Texas - Austin","Georgia Institute of Technology, Tulane University, Vanderbilt University",
34,"Yale University, Duke University, Rice University, Johns Hopkins, Washington University - St Louis, Amherst College, University of Michigan - Ann Arbor, University of California - Davis, University of California - Berkeley, University of California - Los Angeles, University of California - San Diego, University of California - Irvine, University of California - Santa Barbara, University of California - Santa Cruz, University of Southern California, Tufts University, University of Washington, ASU","Harvard University, University of Chicago, Columbia University, Brown University, Dartmouth College, Swarthmore College, Case Western University, University of Virginia","Stanford University, University of Pennsylvania, Northwestern University, Vanderbilt University, Northeastern University,",
35,"University of Texas - Austin, Dartmouth College, Duke University, Johns Hopkins, Yale University, Brown University, University of North Carolina - Chapel Hill, Stanford University, Northwestern University, University of Pennsylvania","Brown University, Columbia University, University of Chicago",Harvard University,
36,"Stanford University, Massachusetts Institute of Technology, University of Washington, University of California - Santa Barbara, University of California - San Diego,","University of California - Los Angeles, University of California - Berkeley",,
37,"University of California - Riverside, University of California - Merced, University of Nevada - Las Vegas, Azusa Pacific University, California State University - Los Angeles, California State University - Fullerton, California State Polytechnic University - Pomona, Chapman University, Uni of the Pacific","University of California - Santa Barbara, University of California - San Diego, University of California - Berkeley, California State University - Long Beach, San Diego State University, California Polytechnic State University, Purdue University",University of California - Davis,
38,"University of Colorado - Boulder, University of Florida, University of Maryland - College Park, Virginia Institute of Technology, Texas A&M, University of Texas - San Antonio, Texas State","Purdue University, University of Wisconsin - Madison, University of Virginia, University of Michigan - Ann Arbor, University of Texas - Austin",,
39,"Columbia University, New York University, Kings College London, Imperial College London, University of Michigan - Ann Arbor, Massachusetts Institute of Technology ","Harvard University, Oxford University",Princeton University,Yale University
40,,"Columbia University, Dartmouth College, Duke University, Grinnel College, Johns Hopkins, New York University, Northwestern University, University of Rochester, Stanford University, Vanderbilt University, Vassar College, Washington, St Louis, Williams College, University of Pennsylvania",,
41,"University of North Carolina - Chapel Hill, Southern Methodist University, Santa Clara University, Texas Christian Universityniversity, Ohio State","Stanford University, Yale University, Duke University, University of Texas - Austin, University of Michigan - Ann Arbor, University of Southern California",,
42,"Villanova, University of Southern California, Northeastern University, Cornell University, Brown University, Dartmouth College, New York University, Washington University - St Louis, University of California - Los Angeles, University of California - Irvine, University of California - Berkeley, University of Southern California, Boston College","Duke University, University of Chicago, Harvard University, Princeton University, Stanford University, Columbia University, Georgetown University, Northwestern University",,
43,"University of California - Los Angeles, Drexel University, Stony Brook University, Binghamton University, New York University","University of Pennsylvania, Massachusetts Institute of Technology, Stanford University, Harvard University, Yale University, Columbia University, California Institute of Technology, Duke University, Princeton University, University of California - Berkeley, Johns Hopkins, University of Southern California","Cornell University, Northeastern University, Carnegie Mellon, Georgia Institute of Technology, University of Illinois - Urbana Champaign, University of North Carolina - Chapel Hill",
44,"Harvard University, University of California - Davis, Yale University, University of Pennsylvania, University of Notre Dame, Northwestern University, University of California - Los Angeles, Brown University, University of Chicago, Rice University","Tulane University, Massachusetts Institute of Technology, Boston College, California Institute of Technology, Georgetown University, University of North Carolina - Chapel Hill, Tufts University, Duke University, Cornell University, Washington University - St Louis, Dartmouth College, University of California - Irvine, University of California - Santa Barbara","Princeton University, Columbia University, University of Southern California, Vanderbilt University, Stanford University, University of California - Berkeley, Emory University, Pomona College",
45,"Florida, Maryland, University of Colorado - Boulder, Virginia Institute of Technology, Texas A&M, University of Texas - San Antonio, Texas State","University of Michigan - Ann Arbor, University of Virginia, University of Wisconsin - Madison, University of Texas - Austin",,
46,"University of Pittsburgh, Pennsylvania State, Bucknell","Florida State, University of Maryland - College Park",,
47,"University of North Carolina - Chapel Hill, University of Virginia, Duke University",Princeton University,,
